iter	Passed	Remaining
0	52	104263
1	104	104853
2	152	101385
3	200	99992
4	245	97805
5	290	96459
6	339	96652
7	385	95891
8	432	95778
9	465	92717
10	499	90295
11	534	88558
12	567	86670
13	599	85012
14	632	83711
15	670	83129
16	703	82036
17	737	81173
18	772	80506
19	805	79773
20	838	79021
21	870	78297
22	905	77825
23	941	77557
24	981	77519
25	1020	77454
26	1057	77242
27	1093	76979
28	1130	76865
29	1167	76691
30	1202	76372
31	1238	76195
32	1276	76059
33	1332	77074
34	1376	77271
35	1419	77421
36	1454	77171
37	1489	76881
38	1523	76581
39	1558	76385
40	1593	76149
41	1627	75876
42	1661	75638
43	1696	75400
44	1732	75255
45	1768	75102
46	1805	75038
47	1841	74888
48	1877	74756
49	1912	74598
50	1949	74494
51	1984	74350
52	2020	74209
53	2054	74050
54	2089	73894
55	2129	73919
56	2168	73913
57	2205	73849
58	2241	73728
59	2277	73642
60	2314	73563
61	2349	73437
62	2386	73368
63	2425	73361
64	2462	73294
65	2500	73265
66	2534	73135
67	2570	73039
68	2606	72935
69	2641	72835
70	2678	72766
71	2715	72727
72	2752	72669
73	2789	72601
74	2827	72571
75	2864	72527
76	2902	72490
77	2936	72353
78	2970	72230
79	3003	72079
80	3039	72003
81	3076	71961
82	3114	71930
83	3151	71893
84	3188	71829
85	3223	71749
86	3260	71683
87	3297	71639
88	3335	71620
89	3370	71532
90	3406	71463
91	3443	71418
92	3480	71373
93	3515	71286
94	3550	71190
95	3584	71083
96	3618	70990
97	3650	70847
98	3685	70761
99	3721	70699
100	3758	70675
101	3796	70643
102	3832	70586
103	3868	70525
104	3907	70516
105	3948	70560
106	3985	70507
107	4024	70495
108	4060	70442
109	4094	70346
110	4128	70253
111	4162	70170
112	4194	70051
113	4227	69946
114	4262	69874
115	4296	69784
116	4334	69759
117	4374	69773
118	4413	69757
119	4449	69713
120	4488	69696
121	4524	69649
122	4561	69614
123	4600	69606
124	4637	69561
125	4675	69543
126	4714	69522
127	4747	69438
128	4782	69359
129	4816	69290
130	4849	69189
131	4881	69077
132	4914	68986
133	4947	68893
134	4977	68764
135	5009	68654
136	5040	68547
137	5072	68435
138	5123	68599
139	5173	68737
140	5218	68798
141	5259	68814
142	5295	68761
143	5329	68691
144	5362	68600
145	5393	68494
146	5425	68384
147	5456	68282
148	5487	68171
149	5519	68068
150	5550	67969
151	5583	67879
152	5614	67779
153	5646	67687
154	5680	67612
155	5712	67525
156	5744	67436
157	5776	67343
158	5808	67258
159	5839	67155
160	5871	67065
161	5908	67031
162	5939	66942
163	5973	66869
164	6007	66806
165	6040	66732
166	6073	66663
167	6111	66649
168	6146	66592
169	6178	66507
170	6211	66436
171	6244	66366
172	6276	66287
173	6310	66226
174	6344	66162
175	6376	66082
176	6419	66119
177	6462	66145
178	6534	66472
179	6577	66503
180	6610	66432
181	6643	66363
182	6676	66294
183	6711	66235
184	6744	66170
185	6777	66101
186	6810	66028
187	6842	65946
188	6874	65869
189	6908	65814
190	6939	65728
191	6971	65647
192	7002	65558
193	7033	65474
194	7064	65389
195	7096	65317
196	7128	65240
197	7160	65166
198	7192	65093
199	7222	65005
200	7254	64933
201	7288	64873
202	7318	64788
203	7349	64707
204	7381	64636
205	7413	64562
206	7445	64493
207	7477	64425
208	7509	64349
209	7541	64282
210	7573	64210
211	7606	64149
212	7638	64080
213	7670	64013
214	7701	63937
215	7733	63873
216	7766	63812
217	7798	63751
218	7830	63684
219	7863	63623
220	7894	63546
221	7925	63473
222	7957	63410
223	7989	63344
224	8022	63288
225	8052	63209
226	8085	63150
227	8116	63082
228	8148	63019
229	8179	62948
230	8216	62922
231	8259	62941
232	8291	62878
233	8322	62811
234	8354	62747
235	8389	62709
236	8421	62645
237	8457	62614
238	8492	62570
239	8525	62521
240	8557	62462
241	8592	62419
242	8625	62369
243	8658	62314
244	8691	62258
245	8726	62219
246	8760	62171
247	8792	62117
248	8825	62062
249	8858	62007
250	8890	61953
251	8924	61903
252	8956	61847
253	8989	61796
254	9022	61741
255	9056	61699
256	9090	61650
257	9124	61608
258	9158	61563
259	9192	61521
260	9225	61466
261	9257	61410
262	9288	61347
263	9319	61284
264	9352	61231
265	9383	61168
266	9415	61115
267	9447	61059
268	9479	61000
269	9511	60941
270	9542	60881
271	9574	60826
272	9607	60779
273	9638	60716
274	9670	60661
275	9702	60603
276	9733	60544
277	9764	60485
278	9797	60433
279	9829	60380
280	9862	60333
281	9893	60273
282	9926	60226
283	9958	60174
284	9990	60115
285	10021	60060
286	10054	60010
287	10086	59957
288	10118	59906
289	10150	59854
290	10181	59795
291	10214	59748
292	10248	59709
293	10281	59661
294	10312	59605
295	10344	59549
296	10380	59521
297	10412	59468
298	10444	59418
299	10477	59372
300	10508	59317
301	10539	59257
302	10572	59211
303	10605	59169
304	10638	59121
305	10673	59090
306	10710	59064
307	10744	59024
308	10779	58989
309	10812	58943
310	10847	58909
311	10881	58873
312	10915	58832
313	10948	58786
314	10982	58750
315	11015	58703
316	11049	58661
317	11082	58616
318	11114	58570
319	11147	58526
320	11179	58476
321	11213	58433
322	11245	58385
323	11278	58340
324	11317	58327
325	11359	58330
326	11409	58373
327	11469	58467
328	11530	58565
329	11573	58569
330	11618	58581
331	11658	58575
332	11697	58557
333	11740	58559
334	11781	58554
335	11824	58560
336	11864	58547
337	11905	58541
338	11941	58510
339	11980	58494
340	12016	58463
341	12053	58434
342	12088	58399
343	12124	58365
344	12161	58337
345	12197	58308
346	12233	58274
347	12267	58236
348	12304	58206
349	12338	58168
350	12372	58126
351	12409	58099
352	12446	58070
353	12481	58035
354	12515	57995
355	12549	57953
356	12582	57909
357	12615	57863
358	12650	57826
359	12685	57787
360	12717	57741
361	12751	57698
362	12785	57658
363	12819	57616
364	12853	57577
365	12886	57530
366	12918	57482
367	12949	57427
368	12980	57375
369	13012	57326
370	13048	57292
371	13079	57240
372	13112	57194
373	13144	57146
374	13177	57100
375	13210	57059
376	13271	57134
377	13311	57119
378	13345	57078
379	13380	57042
380	13413	56997
381	13445	56950
382	13478	56903
383	13512	56863
384	13543	56814
385	13577	56771
386	13608	56717
387	13639	56668
388	13671	56620
389	13707	56588
390	13741	56545
391	13774	56504
392	13808	56462
393	13840	56415
394	13873	56372
395	13905	56325
396	13938	56279
397	13973	56244
398	14008	56207
399	14046	56184
400	14081	56151
401	14117	56117
402	14149	56071
403	14183	56032
404	14216	55988
405	14248	55940
406	14280	55895
407	14316	55861
408	14352	55829
409	14388	55800
410	14428	55784
411	14465	55754
412	14501	55724
413	14538	55694
414	14574	55663
415	14608	55624
416	14644	55591
417	14678	55554
418	14712	55515
419	14746	55475
420	14782	55443
421	14819	55415
422	14855	55382
423	14893	55357
424	14930	55331
425	14969	55310
426	15002	55268
427	15037	55232
428	15074	55201
429	15110	55172
430	15145	55134
431	15179	55096
432	15214	55059
433	15246	55014
434	15281	54980
435	15318	54950
436	15354	54918
437	15393	54897
438	15432	54874
439	15468	54841
440	15506	54818
441	15543	54788
442	15580	54759
443	15615	54724
444	15650	54687
445	15684	54650
446	15719	54612
447	15752	54572
448	15786	54532
449	15820	54492
450	15852	54445
451	15887	54412
452	15924	54382
453	15958	54344
454	15992	54302
455	16028	54270
456	16060	54227
457	16095	54189
458	16131	54159
459	16165	54120
460	16199	54080
461	16234	54043
462	16269	54007
463	16304	53974
464	16344	53952
465	16378	53915
466	16413	53879
467	16446	53836
468	16479	53796
469	16513	53756
470	16551	53730
471	16588	53702
472	16622	53662
473	16656	53624
474	16690	53584
475	16724	53545
476	16759	53511
477	16794	53474
478	16828	53436
479	16861	53395
480	16895	53354
481	16927	53310
482	16961	53273
483	16996	53236
484	17029	53195
485	17062	53152
486	17095	53112
487	17130	53076
488	17165	53040
489	17201	53009
490	17236	52972
491	17270	52935
492	17305	52900
493	17341	52866
494	17374	52824
495	17407	52783
496	17442	52748
497	17497	52773
498	17537	52754
499	17570	52710
500	17600	52660
501	17632	52617
502	17671	52592
503	17704	52550
504	17739	52514
505	17772	52473
506	17807	52439
507	17840	52398
508	17874	52358
509	17907	52317
510	17940	52276
511	17971	52231
512	18005	52190
513	18039	52152
514	18073	52114
515	18116	52102
516	18152	52068
517	18185	52027
518	18218	51986
519	18252	51949
520	18284	51904
521	18318	51866
522	18351	51826
523	18385	51788
524	18418	51747
525	18453	51710
526	18489	51680
527	18524	51644
528	18557	51602
529	18588	51556
530	18619	51510
531	18651	51466
532	18682	51420
533	18714	51377
534	18746	51333
535	18777	51288
536	18810	51246
537	18841	51201
538	18873	51157
539	18905	51113
540	18922	51030
541	18957	50996
542	19007	51001
543	19048	50981
544	19079	50937
545	19112	50897
546	19145	50856
547	19180	50822
548	19212	50777
549	19245	50738
550	19276	50693
551	19307	50647
552	19341	50609
553	19374	50568
554	19404	50522
555	19436	50477
556	19467	50434
557	19499	50390
558	19529	50344
559	19561	50300
560	19597	50268
561	19630	50228
562	19663	50187
563	19693	50141
564	19724	50095
565	19755	50052
566	19785	50005
567	19817	49962
568	19850	49922
569	19882	49881
570	19914	49838
571	19945	49792
572	19975	49746
573	20007	49705
574	20042	49670
575	20077	49636
576	20110	49596
577	20142	49554
578	20173	49510
579	20204	49466
580	20235	49422
581	20267	49380
582	20301	49343
583	20336	49309
584	20367	49264
585	20399	49222
586	20431	49180
587	20462	49137
588	20494	49095
589	20527	49057
590	20558	49012
591	20591	48975
592	20625	48938
593	20658	48897
594	20689	48856
595	20726	48824
596	20759	48785
597	20793	48749
598	20827	48714
599	20837	48621
600	20869	48580
601	20901	48538
602	20933	48498
603	20965	48457
604	20998	48417
605	21029	48375
606	21063	48338
607	21094	48294
608	21125	48252
609	21157	48211
610	21187	48166
611	21219	48124
612	21249	48080
613	21281	48038
614	21315	48002
615	21349	47967
616	21386	47937
617	21419	47899
618	21454	47864
619	21488	47828
620	21522	47793
621	21554	47752
622	21588	47716
623	21620	47676
624	21652	47636
625	21684	47595
626	21715	47553
627	21747	47511
628	21779	47472
629	21810	47429
630	21844	47392
631	21874	47348
632	21904	47303
633	21935	47262
634	21966	47218
635	21997	47176
636	22030	47138
637	22065	47104
638	22098	47066
639	22131	47029
640	22164	46990
641	22194	46947
642	22226	46906
643	22260	46870
644	22292	46831
645	22308	46758
646	22341	46719
647	22372	46678
648	22403	46637
649	22435	46597
650	22468	46559
651	22500	46519
652	22532	46480
653	22565	46441
654	22598	46405
655	22629	46363
656	22663	46327
657	22697	46292
658	22733	46260
659	22764	46218
660	22795	46177
661	22828	46139
662	22858	46096
663	22890	46057
664	22922	46017
665	22953	45976
666	22984	45933
667	23015	45893
668	23050	45859
669	23087	45830
670	23119	45791
671	23152	45754
672	23187	45720
673	23219	45681
674	23253	45645
675	23286	45608
676	23318	45569
677	23352	45534
678	23387	45501
679	23421	45465
680	23455	45430
681	23491	45398
682	23525	45362
683	23558	45326
684	23596	45298
685	23627	45257
686	23659	45217
687	23691	45178
688	23723	45139
689	23754	45099
690	23785	45058
691	23816	45017
692	23850	44981
693	23882	44942
694	23914	44903
695	23945	44863
696	23978	44827
697	24010	44787
698	24042	44748
699	24074	44709
700	24105	44669
701	24135	44627
702	24166	44586
703	24202	44555
704	24234	44515
705	24267	44479
706	24298	44437
707	24329	44397
708	24362	44360
709	24393	44320
710	24424	44280
711	24457	44242
712	24492	44210
713	24527	44177
714	24585	44184
715	24629	44167
716	24665	44136
717	24702	44107
718	24736	44070
719	24770	44036
720	24803	44000
721	24837	43963
722	24867	43922
723	24909	43901
724	24946	43870
725	24979	43835
726	25010	43794
727	25043	43757
728	25077	43722
729	25112	43688
730	25144	43650
731	25176	43612
732	25208	43573
733	25239	43533
734	25271	43494
735	25303	43455
736	25335	43416
737	25367	43378
738	25398	43339
739	25429	43298
740	25459	43257
741	25491	43217
742	25522	43178
743	25554	43140
744	25586	43102
745	25618	43063
746	25650	43024
747	25682	42986
748	25713	42947
749	25743	42906
750	25776	42869
751	25808	42831
752	25839	42790
753	25870	42751
754	25901	42711
755	25932	42672
756	25963	42632
757	25995	42594
758	26027	42555
759	26058	42516
760	26094	42484
761	26127	42448
762	26159	42411
763	26191	42372
764	26222	42333
765	26255	42297
766	26287	42258
767	26318	42219
768	26352	42183
769	26382	42143
770	26413	42103
771	26448	42071
772	26479	42031
773	26511	41993
774	26544	41956
775	26575	41917
776	26606	41878
777	26639	41842
778	26670	41803
779	26701	41764
780	26732	41725
781	26763	41685
782	26794	41646
783	26825	41606
784	26857	41569
785	26889	41532
786	26921	41493
787	26952	41454
788	26984	41417
789	27015	41378
790	27046	41339
791	27078	41301
792	27110	41263
793	27142	41226
794	27173	41188
795	27204	41147
796	27234	41107
797	27265	41069
798	27297	41032
799	27330	40995
800	27361	40956
801	27392	40918
802	27423	40879
803	27455	40841
804	27486	40803
805	27518	40765
806	27550	40728
807	27581	40690
808	27613	40651
809	27644	40612
810	27675	40574
811	27706	40536
812	27738	40499
813	27772	40464
814	27803	40426
815	27836	40389
816	27868	40353
817	27899	40315
818	27930	40276
819	27961	40237
820	27994	40201
821	28025	40163
822	28056	40124
823	28088	40087
824	28120	40049
825	28150	40010
826	28185	39978
827	28226	39953
828	28257	39915
829	28288	39876
830	28321	39840
831	28353	39803
832	28384	39766
833	28417	39730
834	28448	39691
835	28481	39655
836	28512	39617
837	28543	39579
838	28575	39541
839	28606	39503
840	28636	39464
841	28667	39426
842	28699	39389
843	28731	39352
844	28762	39314
845	28793	39276
846	28825	39238
847	28857	39202
848	28887	39162
849	28918	39125
850	28950	39088
851	28981	39049
852	29013	39013
853	29045	38977
854	29078	38940
855	29109	38902
856	29140	38865
857	29172	38828
858	29204	38791
859	29236	38755
860	29267	38717
861	29300	38681
862	29331	38644
863	29363	38607
864	29393	38568
865	29424	38530
866	29455	38492
867	29485	38454
868	29517	38416
869	29549	38379
870	29580	38341
871	29610	38303
872	29641	38266
873	29673	38229
874	29704	38191
875	29738	38157
876	29769	38119
877	29800	38082
878	29831	38044
879	29863	38008
880	29895	37972
881	29927	37935
882	29965	37906
883	30001	37875
884	30034	37840
885	30068	37806
886	30100	37769
887	30134	37735
888	30179	37715
889	30222	37693
890	30260	37664
891	30296	37633
892	30331	37600
893	30364	37564
894	30397	37530
895	30430	37494
896	30462	37458
897	30496	37424
898	30528	37387
899	30561	37352
900	30594	37318
901	30627	37282
902	30659	37245
903	30691	37210
904	30723	37174
905	30754	37136
906	30787	37100
907	30821	37067
908	30856	37034
909	30890	37000
910	30922	36964
911	30955	36928
912	30987	36893
913	31019	36857
914	31054	36824
915	31092	36794
916	31126	36761
917	31158	36725
918	31191	36689
919	31223	36654
920	31257	36620
921	31292	36586
922	31324	36551
923	31356	36514
924	31389	36479
925	31422	36444
926	31454	36408
927	31488	36374
928	31522	36341
929	31553	36303
930	31587	36269
931	31621	36235
932	31653	36200
933	31695	36174
934	31756	36171
935	31791	36139
936	31828	36109
937	31860	36071
938	31893	36037
939	31925	36001
940	31959	35966
941	31991	35930
942	32023	35894
943	32057	35860
944	32090	35825
945	32123	35791
946	32155	35754
947	32188	35719
948	32219	35682
949	32250	35645
950	32282	35609
951	32315	35574
952	32349	35540
953	32381	35504
954	32414	35468
955	32447	35434
956	32484	35403
957	32515	35366
958	32548	35331
959	32585	35301
960	32621	35269
961	32654	35234
962	32686	35198
963	32718	35162
964	32750	35126
965	32783	35090
966	32815	35055
967	32847	35018
968	32892	34997
969	32937	34974
970	32971	34941
971	33002	34904
972	33035	34868
973	33067	34832
974	33099	34796
975	33130	34760
976	33162	34723
977	33192	34686
978	33223	34649
979	33255	34612
980	33288	34577
981	33319	34541
982	33351	34505
983	33384	34470
984	33416	34433
985	33446	34396
986	33479	34361
987	33512	34326
988	33543	34289
989	33575	34253
990	33607	34218
991	33642	34184
992	33675	34150
993	33708	34115
994	33741	34080
995	33771	34043
996	33803	34007
997	33834	33970
998	33865	33933
999	33898	33898
1000	33935	33867
1001	33968	33832
1002	33999	33796
1003	34031	33760
1004	34063	33724
1005	34094	33687
1006	34128	33653
1007	34160	33618
1008	34192	33582
1009	34223	33546
1010	34254	33508
1011	34287	33474
1012	34319	33438
1013	34350	33401
1014	34385	33368
1015	34416	33332
1016	34449	33298
1017	34482	33262
1018	34515	33228
1019	34548	33193
1020	34582	33159
1021	34617	33127
1022	34649	33091
1023	34684	33058
1024	34717	33024
1025	34750	32989
1026	34785	32956
1027	34819	32922
1028	34853	32889
1029	34886	32854
1030	34920	32820
1031	34953	32785
1032	34985	32749
1033	35017	32714
1034	35050	32679
1035	35080	32642
1036	35111	32606
1037	35142	32569
1038	35173	32532
1039	35205	32497
1040	35236	32460
1041	35268	32425
1042	35299	32389
1043	35331	32352
1044	35361	32316
1045	35392	32280
1046	35424	32244
1047	35456	32208
1048	35491	32175
1049	35523	32139
1050	35556	32105
1051	35588	32070
1052	35621	32035
1053	35654	32000
1054	35688	31967
1055	35733	31943
1056	35766	31909
1057	35798	31873
1058	35832	31839
1059	35866	31806
1060	35902	31774
1061	35941	31744
1062	35972	31708
1063	36006	31674
1064	36040	31641
1065	36073	31606
1066	36106	31572
1067	36140	31538
1068	36171	31502
1069	36204	31467
1070	36236	31431
1071	36268	31396
1072	36300	31361
1073	36332	31325
1074	36365	31291
1075	36397	31255
1076	36430	31221
1077	36462	31185
1078	36493	31149
1079	36525	31114
1080	36556	31077
1081	36589	31043
1082	36622	31009
1083	36654	30973
1084	36686	30938
1085	36718	30902
1086	36749	30866
1087	36782	30832
1088	36815	30798
1089	36849	30764
1090	36884	30731
1091	36918	30697
1092	36949	30661
1093	36979	30624
1094	37009	30588
1095	37044	30555
1096	37075	30518
1097	37106	30482
1098	37137	30446
1099	37168	30410
1100	37200	30375
1101	37232	30339
1102	37265	30305
1103	37309	30280
1104	37343	30246
1105	37376	30212
1106	37410	30178
1107	37443	30143
1108	37474	30108
1109	37507	30073
1110	37538	30037
1111	37570	30002
1112	37601	29966
1113	37635	29932
1114	37667	29897
1115	37699	29862
1116	37732	29827
1117	37764	29792
1118	37796	29757
1119	37829	29723
1120	37863	29689
1121	37894	29653
1122	37926	29618
1123	37962	29586
1124	37994	29551
1125	38026	29516
1126	38061	29483
1127	38096	29450
1128	38129	29416
1129	38161	29381
1130	38193	29345
1131	38224	29310
1132	38257	29275
1133	38288	29239
1134	38323	29206
1135	38357	29173
1136	38390	29138
1137	38422	29104
1138	38454	29068
1139	38485	29032
1140	38516	28997
1141	38550	28963
1142	38580	28927
1143	38613	28892
1144	38646	28858
1145	38679	28823
1146	38711	28789
1147	38744	28754
1148	38779	28721
1149	38812	28687
1150	38845	28653
1151	38878	28618
1152	38910	28584
1153	38941	28548
1154	38974	28514
1155	39009	28481
1156	39041	28445
1157	39073	28410
1158	39106	28376
1159	39139	28342
1160	39171	28307
1161	39206	28274
1162	39237	28238
1163	39267	28202
1164	39298	28167
1165	39329	28130
1166	39366	28099
1167	39399	28065
1168	39432	28031
1169	39485	28011
1170	39534	27988
1171	39581	27963
1172	39624	27936
1173	39660	27904
1174	39693	27870
1175	39725	27834
1176	39756	27799
1177	39787	27763
1178	39819	27728
1179	39850	27692
1180	39880	27656
1181	39912	27621
1182	39943	27585
1183	39975	27550
1184	40005	27514
1185	40037	27479
1186	40069	27444
1187	40101	27409
1188	40133	27374
1189	40165	27339
1190	40196	27304
1191	40228	27268
1192	40259	27233
1193	40291	27198
1194	40323	27163
1195	40356	27129
1196	40387	27093
1197	40418	27058
1198	40449	27022
1199	40481	26987
1200	40514	26953
1201	40547	26919
1202	40580	26885
1203	40616	26852
1204	40648	26818
1205	40679	26782
1206	40710	26747
1207	40742	26711
1208	40773	26676
1209	40805	26641
1210	40836	26606
1211	40867	26570
1212	40899	26535
1213	40931	26500
1214	40963	26466
1215	40995	26430
1216	41027	26396
1217	41058	26361
1218	41090	26326
1219	41124	26292
1220	41156	26257
1221	41187	26222
1222	41218	26187
1223	41251	26152
1224	41282	26117
1225	41314	26082
1226	41344	26046
1227	41376	26011
1228	41407	25976
1229	41439	25941
1230	41473	25908
1231	41504	25873
1232	41537	25838
1233	41569	25804
1234	41600	25768
1235	41631	25733
1236	41662	25698
1237	41694	25663
1238	41726	25628
1239	41758	25593
1240	41789	25558
1241	41820	25523
1242	41851	25488
1243	41883	25453
1244	41927	25426
1245	41959	25391
1246	41991	25356
1247	42023	25322
1248	42055	25286
1249	42088	25253
1250	42140	25230
1251	42190	25206
1252	42232	25177
1253	42271	25147
1254	42304	25113
1255	42339	25080
1256	42373	25046
1257	42404	25011
1258	42436	24976
1259	42468	24942
1260	42499	24906
1261	42530	24871
1262	42563	24837
1263	42595	24802
1264	42626	24767
1265	42658	24732
1266	42689	24697
1267	42720	24661
1268	42752	24627
1269	42783	24591
1270	42814	24557
1271	42846	24522
1272	42879	24488
1273	42911	24453
1274	42944	24419
1275	42976	24384
1276	43011	24351
1277	43042	24316
1278	43075	24282
1279	43106	24247
1280	43137	24212
1281	43167	24176
1282	43201	24142
1283	43240	24112
1284	43297	24091
1285	43336	24060
1286	43368	24026
1287	43411	23997
1288	43447	23964
1289	43482	23932
1290	43518	23899
1291	43551	23865
1292	43585	23832
1293	43617	23797
1294	43651	23763
1295	43683	23729
1296	43715	23694
1297	43745	23659
1298	43776	23623
1299	43807	23588
1300	43840	23554
1301	43873	23520
1302	43903	23484
1303	43935	23449
1304	43966	23415
1305	44000	23381
1306	44033	23347
1307	44065	23312
1308	44099	23279
1309	44131	23244
1310	44162	23209
1311	44194	23175
1312	44225	23140
1313	44256	23104
1314	44289	23071
1315	44321	23036
1316	44353	23002
1317	44385	22967
1318	44418	22933
1319	44449	22898
1320	44482	22864
1321	44515	22830
1322	44547	22795
1323	44579	22761
1324	44612	22727
1325	44646	22693
1326	44676	22658
1327	44709	22624
1328	44743	22590
1329	44777	22557
1330	44810	22523
1331	44842	22488
1332	44874	22454
1333	44905	22419
1334	44937	22384
1335	44969	22350
1336	45001	22315
1337	45033	22281
1338	45065	22246
1339	45096	22211
1340	45128	22177
1341	45160	22142
1342	45192	22108
1343	45225	22074
1344	45258	22040
1345	45290	22006
1346	45322	21971
1347	45355	21937
1348	45387	21903
1349	45419	21868
1350	45452	21834
1351	45483	21799
1352	45514	21764
1353	45546	21730
1354	45578	21696
1355	45610	21661
1356	45643	21627
1357	45675	21593
1358	45712	21561
1359	45743	21526
1360	45775	21491
1361	45808	21458
1362	45840	21423
1363	45872	21389
1364	45906	21355
1365	45937	21320
1366	45970	21286
1367	46002	21252
1368	46033	21217
1369	46065	21183
1370	46098	21149
1371	46130	21114
1372	46162	21080
1373	46194	21046
1374	46224	21011
1375	46257	20977
1376	46289	20943
1377	46322	20909
1378	46357	20876
1379	46388	20841
1380	46420	20806
1381	46462	20777
1382	46508	20748
1383	46545	20716
1384	46579	20683
1385	46611	20649
1386	46644	20615
1387	46676	20580
1388	46707	20545
1389	46738	20511
1390	46771	20477
1391	46806	20444
1392	46839	20410
1393	46872	20376
1394	46905	20342
1395	46938	20308
1396	46971	20274
1397	47003	20240
1398	47038	20207
1399	47069	20172
1400	47100	20138
1401	47133	20104
1402	47164	20069
1403	47195	20034
1404	47226	19999
1405	47260	19966
1406	47294	19933
1407	47327	19898
1408	47358	19864
1409	47391	19830
1410	47423	19796
1411	47464	19765
1412	47498	19732
1413	47530	19698
1414	47562	19663
1415	47593	19628
1416	47624	19594
1417	47656	19560
1418	47688	19525
1419	47718	19490
1420	47751	19456
1421	47791	19425
1422	47824	19391
1423	47856	19357
1424	47890	19324
1425	47924	19290
1426	47958	19257
1427	47990	19223
1428	48022	19188
1429	48055	19155
1430	48088	19121
1431	48119	19086
1432	48154	19053
1433	48186	19019
1434	48218	18984
1435	48251	18951
1436	48281	18916
1437	48314	18882
1438	48347	18848
1439	48379	18814
1440	48413	18780
1441	48447	18747
1442	48494	18718
1443	48532	18687
1444	48581	18659
1445	48618	18626
1446	48654	18594
1447	48690	18561
