,record_date,AVERAGE_SPEED_DIFF,AVERAGE_FREE_FLOW_SPEED,AVERAGE_TIME_DIFF,AVERAGE_FREE_FLOW_TIME,LUMINOSITY,AVERAGE_TEMPERATURE,AVERAGE_ATMOSP_PRESSURE,AVERAGE_HUMIDITY,AVERAGE_WIND_SPEED,AVERAGE_CLOUDINESS,year,month,day,hour,weekday,is_weekend,is_holiday,season,AVERAGE_SPEED_DIFF_N,LUMINOSITY_N,AVERAGE_CLOUDINESS_N,is_peak_hour,poor_visibility,hour_weekday,time_ratio
0,2019-08-29 07:00:00,Medium,41.5,11.5,71.4,LIGHT,15.0,1019.0,100.0,3.0,,2019,8,29,7,3,0,0,Summer,1.0,2,,1,0,79,0.1610644257703081
1,2018-08-10 14:00:00,High,41.7,48.3,87.4,LIGHT,21.0,1021.0,53.0,5.0,céu claro,2018,8,10,14,4,0,0,Summer,2.0,2,1.0,1,0,110,0.5526315789473684
2,2019-09-01 16:00:00,High,38.6,38.4,85.2,LIGHT,26.0,1014.0,61.0,4.0,,2019,9,1,16,6,1,0,Summer,2.0,2,,1,0,160,0.45070422535211263
3,2019-02-26 11:00:00,High,37.4,61.0,94.1,LIGHT,18.0,1025.0,48.0,4.0,céu claro,2019,2,26,11,1,0,0,Winter,2.0,2,1.0,1,0,35,0.6482465462274177
4,2019-06-06 12:00:00,Medium,41.6,50.4,77.0,LIGHT,15.0,1008.0,82.0,10.0,,2019,6,6,12,3,0,0,Spring,1.0,2,,1,0,84,0.6545454545454545
5,2018-11-15 07:00:00,Medium,52.4,5.6,68.5,LOW_LIGHT,13.0,1014.0,72.0,4.0,nuvens dispersas,2018,11,15,7,3,0,0,Autumn,1.0,1,4.0,1,1,79,0.08175182481751825
6,2018-10-03 21:00:00,,45.7,4.0,79.8,DARK,16.0,1020.0,58.0,0.0,céu claro,2018,10,3,21,2,0,0,Autumn,,0,1.0,0,1,69,0.050125313283208024
7,2018-08-25 19:00:00,Low,40.9,11.8,87.8,LIGHT,19.0,1014.0,64.0,5.0,céu claro,2018,8,25,19,5,1,0,Summer,0.0,2,1.0,1,0,139,0.13439635535307518
8,2019-06-30 12:00:00,Low,36.4,10.6,72.6,LIGHT,21.0,1019.0,82.0,5.0,céu pouco nublado,2019,6,30,12,6,1,0,Summer,0.0,2,2.0,1,0,156,0.14600550964187328
9,2019-04-20 09:00:00,Low,34.8,10.1,84.4,LIGHT,19.0,1018.0,55.0,3.0,céu limpo,2019,4,20,9,5,1,0,Spring,0.0,2,0.0,1,0,129,0.11966824644549762
10,2019-08-25 22:00:00,Medium,42.5,14.1,75.1,DARK,18.0,1015.0,100.0,1.0,,2019,8,25,22,6,1,0,Summer,1.0,0,,0,1,166,0.18774966711051932
11,2019-07-18 06:00:00,Low,46.8,2.4,75.5,LIGHT,14.0,1017.0,100.0,11.0,,2019,7,18,6,3,0,0,Summer,0.0,2,,0,0,78,0.031788079470198675
12,2019-01-20 07:00:00,Low,40.9,10.1,87.9,DARK,9.0,1017.0,81.0,5.0,algumas nuvens,2019,1,20,7,6,1,0,Winter,0.0,0,3.0,1,1,151,0.1149032992036405
13,2019-01-25 14:00:00,Medium,41.8,18.8,81.5,LIGHT,15.0,1021.0,67.0,2.0,céu claro,2019,1,25,14,4,0,0,Winter,1.0,2,1.0,1,0,110,0.23067484662576687
14,2019-09-27 04:00:00,,45.1,4.0,78.0,DARK,12.0,1021.0,100.0,1.0,céu pouco nublado,2019,9,27,4,4,0,0,Autumn,,0,2.0,0,1,100,0.05128205128205128
