,record_date,AVERAGE_SPEED_DIFF,AVERAGE_FREE_FLOW_SPEED,AVERAGE_TIME_DIFF,AVERAGE_FREE_FLOW_TIME,LUMINOSITY,AVERAGE_TEMPERATURE,AVERAGE_ATMOSP_PRESSURE,AVERAGE_HUMIDITY,AVERAGE_WIND_SPEED,AVERAGE_CLOUDINESS,year,month,day,hour,weekday,is_weekend,is_holiday,season,AVERAGE_SPEED_DIFF_N,LUMINOSITY_N,AVERAGE_CLOUDINESS_N,is_peak_hour,poor_visibility,hour_weekday,time_ratio,AVERAGE_FREE_FLOW_SPEED_lag1,AVERAGE_FREE_FLOW_SPEED_lag2,AVERAGE_FREE_FLOW_SPEED_lag4,AVERAGE_TIME_DIFF_lag1,AVERAGE_TIME_DIFF_lag2,AVERAGE_TIME_DIFF_lag4,rolling_speed_mean_3h,rolling_speed_std_3h,speed_change,hour_day_cat,hour_sin,hour_cos
4123,2018-07-24 15:00:00,Medium,43.8,41.3,86.3,LIGHT,22.0,1016.0,77.0,5.0,algumas nuvens,2018,7,24,15,1,0,0,Summer,2,2,3.0,1,0,39,0.47856315179606024,43.8,43.8,43.8,41.3,41.3,41.3,40.800000000000004,3.5369478367654774,-6.899999999999999,15_1,-0.7071067811865471,-0.7071067811865479
4122,2018-07-24 16:00:00,High,36.9,50.1,90.7,LIGHT,22.0,1016.0,73.0,5.0,algumas nuvens,2018,7,24,16,1,0,0,Summer,3,2,3.0,1,0,40,0.5523704520396913,43.8,43.8,43.8,41.3,41.3,41.3,40.800000000000004,3.5369478367654774,-6.899999999999999,16_1,-0.8660254037844385,-0.5000000000000004
5877,2018-07-24 17:00:00,High,41.7,32.2,87.4,LIGHT,21.0,1016.0,82.0,4.0,algumas nuvens,2018,7,24,17,1,0,0,Summer,3,2,3.0,1,0,41,0.368421052631579,36.9,43.8,43.8,50.1,41.3,41.3,40.800000000000004,3.5369478367654774,4.800000000000004,17_1,-0.9659258262890683,-0.25881904510252063
3700,2018-07-24 19:00:00,Low,37.8,17.2,84.6,LIGHT,19.0,1016.0,93.0,3.0,nuvens quebrados,2018,7,24,19,1,0,0,Summer,1,2,5.0,1,0,43,0.20330969267139481,41.7,36.9,43.8,32.2,50.1,41.3,38.800000000000004,2.5514701644346127,-3.9000000000000057,19_1,-0.9659258262890684,0.2588190451025203
2228,2018-07-24 21:00:00,Medium,41.3,1.4,78.0,DARK,17.0,1016.0,100.0,3.0,nuvens quebrados,2018,7,24,21,1,0,0,Summer,0,0,5.0,0,1,45,0.017948717948717947,37.8,41.7,43.8,17.2,32.2,41.3,40.26666666666666,2.14553800556721,3.5,21_1,-0.7071067811865477,0.7071067811865474
3076,2018-07-25 00:00:00,Medium,38.9,0.0,85.7,DARK,18.0,1016.0,93.0,0.0,nuvens quebrados,2018,7,25,0,2,0,0,Summer,0,0,5.0,0,1,48,0.0,41.3,37.8,36.9,1.4,17.2,50.1,39.333333333333336,1.7897858344878335,-2.3999999999999986,0_2,0.0,1.0
1989,2018-07-25 01:00:00,Medium,40.5,0.0,88.3,DARK,17.0,1016.0,100.0,1.0,nuvens quebrados,2018,7,25,1,2,0,0,Summer,0,0,5.0,0,1,49,0.0,38.9,41.3,41.7,0.0,1.4,32.2,40.23333333333333,1.2220201853215507,1.6000000000000014,1_2,0.25881904510252074,0.9659258262890683
4021,2018-07-25 02:00:00,Medium,43.3,2.3,89.8,DARK,17.0,1015.0,100.0,2.0,nuvens quebrados,2018,7,25,2,2,0,0,Summer,0,0,5.0,0,1,50,0.025612472160356347,40.5,38.9,37.8,0.0,0.0,17.2,40.9,2.227105745132008,2.799999999999997,2_2,0.49999999999999994,0.8660254037844387
3845,2018-07-25 05:00:00,Medium,43.7,5.1,91.0,DARK,18.0,1015.0,93.0,1.0,nuvens quebrados,2018,7,25,5,2,0,0,Summer,0,0,5.0,0,1,53,0.05604395604395604,43.3,40.5,41.3,2.3,0.0,1.4,42.5,1.7435595774162784,0.4000000000000057,5_2,0.9659258262890683,0.25881904510252074
2756,2018-07-25 06:00:00,Medium,44.8,17.2,89.3,LOW_LIGHT,18.0,1015.0,93.0,2.0,nuvens quebrados,2018,7,25,6,2,0,0,Summer,0,1,5.0,0,1,54,0.19260918253079506,43.7,43.3,38.9,5.1,2.3,0.0,43.93333333333334,0.7767453465154454,1.0999999999999943,6_2,1.0,6.123233995736766e-17
615,2018-07-25 07:00:00,Medium,40.3,3.0,86.9,LIGHT,18.0,1016.0,93.0,2.0,nuvens quebrados,2018,7,25,7,2,0,0,Summer,2,2,5.0,1,0,55,0.03452243958573072,44.8,43.7,40.5,17.2,5.1,0.0,42.93333333333334,2.3459184413217304,-4.5,7_2,0.9659258262890683,-0.25881904510252063
3128,2018-07-25 08:00:00,Very_High,46.6,82.8,87.1,LIGHT,17.0,1016.0,100.0,2.0,nuvens quebrados,2018,7,25,8,2,0,0,Summer,4,2,5.0,1,0,56,0.9506314580941447,40.3,44.8,43.3,3.0,17.2,2.3,43.9,3.2449961479176013,6.300000000000004,8_2,0.8660254037844387,-0.4999999999999998
53,2018-07-25 10:00:00,Medium,37.4,30.6,90.0,LIGHT,19.0,1016.0,77.0,0.0,nuvens quebrados,2018,7,25,10,2,0,0,Summer,2,2,5.0,1,1,58,0.34,46.6,40.3,43.7,82.8,3.0,5.1,41.43333333333333,4.703544762552319,-9.200000000000003,10_2,0.49999999999999994,-0.8660254037844387
2974,2018-07-25 11:00:00,High,39.0,63.5,89.3,LIGHT,20.0,1016.0,83.0,2.0,nuvens dispersas,2018,7,25,11,2,0,0,Summer,3,2,4.0,1,1,59,0.7110862262038075,37.4,46.6,44.8,30.6,82.8,17.2,41.0,4.915282290977803,1.6000000000000014,11_2,0.258819045102521,-0.9659258262890682
4699,2018-07-25 12:00:00,Medium,37.4,47.3,92.7,LIGHT,20.0,1016.0,88.0,3.0,nuvens quebrados,2018,7,25,12,2,0,0,Summer,2,2,5.0,1,1,60,0.5102481121898598,39.0,37.4,40.3,63.5,30.6,3.0,37.93333333333334,0.9237604307033616,-1.6000000000000014,12_2,1.2246467991473532e-16,-1.0
5719,2018-07-25 13:00:00,Low,37.5,21.3,93.5,LIGHT,21.0,1015.0,88.0,3.0,nuvens quebrados,2018,7,25,13,2,0,0,Summer,1,2,5.0,0,1,61,0.22780748663101605,37.4,39.0,46.6,47.3,63.5,82.8,37.96666666666667,0.8962886439832103,0.10000000000000142,13_2,-0.2588190451025208,-0.9659258262890683
6238,2018-07-25 14:00:00,Medium,39.0,32.4,90.1,LIGHT,21.0,1015.0,88.0,2.0,nuvens quebrados,2018,7,25,14,2,0,0,Summer,2,2,5.0,1,1,62,0.35960044395116536,37.5,37.4,37.4,21.3,47.3,30.6,37.96666666666667,0.8962886439832103,1.5,14_2,-0.4999999999999997,-0.8660254037844388
4232,2018-07-25 15:00:00,Medium,36.8,46.9,91.4,LIGHT,21.0,1015.0,88.0,3.0,nuvens dispersas,2018,7,25,15,2,0,0,Summer,2,2,4.0,1,1,63,0.5131291028446389,39.0,37.5,39.0,32.4,21.3,63.5,37.76666666666666,1.1239810200057916,-2.200000000000003,15_2,-0.7071067811865471,-0.7071067811865479
1413,2018-07-25 19:00:00,Low,34.3,15.6,89.2,LIGHT,19.0,1015.0,100.0,1.0,nuvens quebrados,2018,7,25,19,2,0,0,Summer,1,2,5.0,1,0,67,0.1748878923766816,36.8,39.0,37.4,46.9,32.4,47.3,36.699999999999996,2.351595203260952,-2.5,19_2,-0.9659258262890684,0.2588190451025203
2366,2018-07-25 20:00:00,Low,40.6,4.2,77.5,LOW_LIGHT,18.0,1016.0,100.0,2.0,nuvens quebrados,2018,7,25,20,2,0,0,Summer,0,1,5.0,0,1,68,0.05419354838709678,34.3,36.8,37.5,15.6,46.9,21.3,37.23333333333333,3.1722757341273553,6.300000000000004,20_2,-0.8660254037844386,0.5000000000000001
3857,2018-07-25 21:00:00,Low,41.5,5.8,87.2,DARK,18.0,1016.0,93.0,3.0,nuvens quebrados,2018,7,25,21,2,0,0,Summer,1,0,5.0,0,1,69,0.0665137614678899,40.6,34.3,39.0,4.2,15.6,32.4,38.800000000000004,3.9230090491865934,0.8999999999999986,21_2,-0.7071067811865477,0.7071067811865474
5499,2018-07-25 22:00:00,Medium,40.8,3.3,92.0,DARK,18.0,1016.0,100.0,3.0,nuvens quebrados,2018,7,25,22,2,0,0,Summer,0,0,5.0,0,1,70,0.035869565217391305,41.5,40.6,36.8,5.8,4.2,46.9,40.96666666666666,0.47258156262509887,-0.7000000000000028,22_2,-0.5000000000000004,0.8660254037844384
6730,2018-07-26 01:00:00,Medium,44.6,10.7,85.9,DARK,18.0,1016.0,100.0,1.0,nuvens quebrados,2018,7,26,1,3,0,0,Summer,0,0,5.0,0,1,73,0.12456344586728753,40.8,41.5,34.3,3.3,5.8,15.6,42.300000000000004,2.022374841615622,3.8000000000000043,1_3,0.25881904510252074,0.9659258262890683
5753,2018-07-26 03:00:00,Medium,48.1,4.6,90.5,DARK,18.0,1016.0,100.0,2.0,nuvens quebrados,2018,7,26,3,3,0,0,Summer,0,0,5.0,0,1,75,0.05082872928176795,44.6,40.8,40.6,10.7,3.3,4.2,44.5,3.6510272527057004,3.5,3_3,0.7071067811865476,0.7071067811865476
